Topic 95 (0.00): binding, protein, promoter, site, transcription, sites, figure, sequence, proteins, lanes
Topic 1479 (0.00): audit, auditors, institute, accounts, companies, financial, firms, report, accountants, accounting
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, efficiency, consumption, nuclear
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, application, plaintiffs, party, county
Topic 153 (0.00): horse, horses, riding, ride, mare, rider, stable, saddle, pony, foal
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, judges, medal
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, broadcast, station, stations, news
Topic 1207 (0.00): police, officers, policing, chief, force, crime, constable, policemen, public, officer
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, pay, accident
Topic 218 (0.00): nuclear, power, reactor, fuel, plant, plutonium, reactors, station, energy, safety
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, display, fighter, engine, world
Topic 613 (0.00): north, south, east, west, northern, southern, region, eastern, country, western
Topic 513 (0.00): species, plants, plant, vegetation, forest, tropical, trees, seeds, found, animals
Topic 1182 (0.00): car, cars, motor, rover, ford, company, model, production, manufacturers, engine
Topic 743 (0.00): tennis, world, players, game, match, player, champion, tournament, court, final
Topic 205 (0.00): car, accident, hospital, killed, crash, road, died, injured, injuries, driver
Topic 681 (0.00): dog, dogs, puppy, pet, owners, rottweiler, owner, bitch, home, vet
Topic 1496 (0.00): fire, smoke, flames, burning, fires, flame, burn, set, brigade, blaze
Topic 1184 (0.00): town, towns, market, centre, local, country, city, houses, century, cities
Topic 279 (0.00): parliament, king, government, church, war, house, revolution, civil, parliamentary, crown
Topic 353 (0.00): sex, sexual, women, woman, love, male, partner, relationship, female, intercourse
Topic 1143 (0.00): plaintiff, negligence, duty, damage, liability, defendant, act, liable, action, person
Topic 1092 (0.00): system, systems, based, control, means, operation, individual, basic, developed, structure
Topic 274 (0.00): garden, gardens, plants, gardening, trees, gardener, gardeners, house, planting, lawn
Topic 396 (0.00): vote, referendum, majority, votes, resolution, voted, assembly, constitutional, approved, parliament
Topic 1224 (0.00): history, historical, historians, evidence, sources, historian, past, material, documents, study
Topic 252 (0.00): term, terms, word, sense, meaning, describe, refer, definition, phrase, called
Topic 878 (0.00): roof, tiles, wall, timber, walls, floor, wood, insulation, damp, tile
